id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
4083304700,11/25/14,3,1,1600,3200,1.5,0,0,3,7,1600,0,1909,0,98103,47.653,-122.331,1860,3420,488000
9412700160,8/14/14,3,2.25,1830,7770,1,0,0,4,7,1400,430,1977,0,98042,47.3925,-122.161,1960,7272,255000
7852190630,4/17/15,4,2.5,2710,6474,2,0,0,3,8,2710,0,2004,0,98065,47.5383,-121.878,2870,6968,600000
2508800220,3/25/15,4,2.5,1830,6360,2,0,0,3,8,1830,0,1994,0,98031,47.4184,-122.18,1830,6596,284000
225039049,09/08/2014,2,1,1530,6450,1,0,0,4,7,1530,0,1920,0,98117,47.6833,-122.398,1530,5000,590000
1196003740,9/24/14,5,4.25,4110,42755,2,0,2,3,10,2970,1140,2000,0,98023,47.3375,-122.337,2730,12750,734000
2126059172,05/06/2015,3,2.25,1560,12000,1,0,0,4,7,1110,450,1968,0,98034,47.7256,-122.166,2190,4612,491500
2922701420,11/18/14,4,2.25,2020,4960,2,0,0,3,7,1710,310,1938,0,98117,47.6867,-122.369,1590,4550,490000
8682220150,06/06/2014,2,2,2280,6815,1,0,0,3,8,2280,0,2002,0,98053,47.7103,-122.027,2280,6750,835000
7420100040,4/22/15,3,1.5,1840,10956,1,0,0,4,8,1840,0,1970,0,98033,47.6746,-122.164,1680,10950,525000
8562790080,02/09/2015,4,3.5,2950,3737,2,0,0,3,10,2270,680,2012,0,98027,47.5313,-122.074,2580,3581,825750
2652500285,10/28/14,3,1.5,2310,3360,1.5,0,0,3,8,1790,520,1926,0,98119,47.6431,-122.359,1930,4320,817000
2048000330,9/26/14,3,2.5,1600,2231,2,0,0,3,7,1600,0,2003,0,98001,47.3314,-122.29,1600,2962,214000
5045700470,3/19/15,4,2.75,3050,4750,2,0,0,3,8,3050,0,2014,0,98059,47.4857,-122.153,2730,5480,563950
7524400250,8/22/14,3,2,2080,12094,2,0,0,4,8,2080,0,1982,0,98052,47.7035,-122.164,2230,12204,424240
1313300340,5/14/14,4,2.5,2310,14023,2,0,0,3,9,2310,0,1991,0,98019,47.7351,-121.964,2410,14007,470000
6146600420,2/24/15,3,0.75,1030,12700,1,0,0,4,5,1030,0,1944,0,98032,47.3877,-122.236,1140,6955,229950
1180002580,3/19/15,2,1,890,6000,1,0,0,2,6,890,0,1919,0,98178,47.4976,-122.225,1100,6000,180000
428000055,04/06/2015,3,1,1020,13504,1,0,0,5,7,1020,0,1959,0,98056,47.5121,-122.17,1110,11158,322500
7227800110,04/09/2015,6,2,1750,17685,1,0,0,4,5,1750,0,1943,0,98056,47.5096,-122.178,1750,9209,315000
5358300100,6/19/14,3,2,2140,7200,1,0,0,4,8,1480,660,1966,0,98056,47.5084,-122.185,2070,7220,346150
4354700010,4/21/15,3,2,1330,6490,1,0,0,4,7,1330,0,1954,0,98125,47.7181,-122.308,1580,7202,482500
7697870350,6/17/14,3,2,1870,5909,1,0,0,3,7,1270,600,1986,0,98030,47.3665,-122.183,1870,7887,259000
6431000987,09/02/2014,3,2.25,1630,1598,3,0,0,3,8,1630,0,2008,0,98103,47.6904,-122.347,1320,1605,385000
